"NM_POINT_SOURCE","ID_POINT","NO_VALUE_ORIGINAL","NO_VALUE_STANDARD","TM_PERIOD_START","TM_PERIOD_END","TM_PROCESSED","NM_DERIVATION_TYPE","NM_MNEMONIC"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 18.00.00.000000000,04-SEP-20 18.14.59.999000000,04-SEP-20 18.09.30.626000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 18.15.00.000000000,04-SEP-20 18.29.59.999000000,04-SEP-20 18.24.30.671000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 18.30.00.000000000,04-SEP-20 18.44.59.999000000,04-SEP-20 18.39.35.570000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 18.45.00.000000000,04-SEP-20 18.59.59.999000000,04-SEP-20 18.54.35.066000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 19.00.00.000000000,04-SEP-20 19.14.59.999000000,04-SEP-20 19.09.36.480000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 19.15.00.000000000,04-SEP-20 19.29.59.999000000,04-SEP-20 19.24.27.275000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 19.30.00.000000000,04-SEP-20 19.44.59.999000000,04-SEP-20 19.39.48.514000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 19.45.00.000000000,04-SEP-20 19.59.59.999000000,04-SEP-20 19.54.53.906000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 20.00.00.000000000,04-SEP-20 20.14.59.999000000,04-SEP-20 20.09.33.048000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 20.15.00.000000000,04-SEP-20 20.29.59.999000000,04-SEP-20 20.24.40.531000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 20.30.00.000000000,04-SEP-20 20.44.59.999000000,04-SEP-20 20.39.27.045000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 20.45.00.000000000,04-SEP-20 20.59.59.999000000,04-SEP-20 20.54.16.114000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 21.00.00.000000000,04-SEP-20 21.14.59.999000000,04-SEP-20 21.09.24.786000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 21.15.00.000000000,04-SEP-20 21.29.59.999000000,04-SEP-20 21.24.34.659000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 21.30.00.000000000,04-SEP-20 21.44.59.999000000,04-SEP-20 21.39.23.899000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 21.45.00.000000000,04-SEP-20 21.59.59.999000000,04-SEP-20 21.54.07.864000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 22.00.00.000000000,04-SEP-20 22.14.59.999000000,04-SEP-20 22.09.36.747000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 22.15.00.000000000,04-SEP-20 22.29.59.999000000,04-SEP-20 22.24.32.196000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 22.30.00.000000000,04-SEP-20 22.44.59.999000000,04-SEP-20 22.39.45.079000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 22.45.00.000000000,04-SEP-20 22.59.59.999000000,04-SEP-20 22.54.21.178000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 23.00.00.000000000,04-SEP-20 23.14.59.999000000,04-SEP-20 23.09.13.127000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 23.15.00.000000000,04-SEP-20 23.29.59.999000000,04-SEP-20 23.24.46.936000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 23.30.00.000000000,04-SEP-20 23.44.59.999000000,04-SEP-20 23.39.28.356000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,04-SEP-20 23.45.00.000000000,04-SEP-20 23.59.59.999000000,04-SEP-20 23.54.19.815000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 00.00.00.000000000,05-SEP-20 00.14.59.999000000,05-SEP-20 00.09.13.177000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 00.15.00.000000000,05-SEP-20 00.29.59.999000000,05-SEP-20 00.24.20.296000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 00.30.00.000000000,05-SEP-20 00.44.59.999000000,05-SEP-20 00.39.46.637000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 00.45.00.000000000,05-SEP-20 00.59.59.999000000,05-SEP-20 00.57.14.126000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 01.00.00.000000000,05-SEP-20 01.14.59.999000000,05-SEP-20 01.09.12.940000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 01.15.00.000000000,05-SEP-20 01.29.59.999000000,05-SEP-20 01.24.30.458000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 01.30.00.000000000,05-SEP-20 01.44.59.999000000,05-SEP-20 01.40.00.097000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 01.45.00.000000000,05-SEP-20 01.59.59.999000000,05-SEP-20 01.54.54.694000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 02.00.00.000000000,05-SEP-20 02.14.59.999000000,05-SEP-20 02.09.50.471000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 02.15.00.000000000,05-SEP-20 02.29.59.999000000,05-SEP-20 02.24.50.155000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 02.30.00.000000000,05-SEP-20 02.44.59.999000000,05-SEP-20 02.39.27.269000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 02.45.00.000000000,05-SEP-20 02.59.59.999000000,05-SEP-20 02.54.35.716000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 03.00.00.000000000,05-SEP-20 03.14.59.999000000,05-SEP-20 03.09.25.872000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 03.15.00.000000000,05-SEP-20 03.29.59.999000000,05-SEP-20 03.24.36.342000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 03.30.00.000000000,05-SEP-20 03.44.59.999000000,05-SEP-20 03.39.30.299000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 03.45.00.000000000,05-SEP-20 03.59.59.999000000,05-SEP-20 03.54.34.239000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 04.00.00.000000000,05-SEP-20 04.14.59.999000000,05-SEP-20 04.09.32.066000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 04.15.00.000000000,05-SEP-20 04.29.59.999000000,05-SEP-20 04.24.44.586000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 04.30.00.000000000,05-SEP-20 04.44.59.999000000,05-SEP-20 04.39.24.447000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 04.45.00.000000000,05-SEP-20 04.59.59.999000000,05-SEP-20 04.54.33.388000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 05.00.00.000000000,05-SEP-20 05.14.59.999000000,05-SEP-20 05.09.34.606000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 05.15.00.000000000,05-SEP-20 05.29.59.999000000,05-SEP-20 05.24.34.607000000,"Average","mm/hr"
"WeatherQuest","SK47004600_ActualRainFall",0,0,05-SEP-20 05.30.00.000000000,05-SEP-20 05.44.59.999000000,05-SEP-20 05.39.28.719000000,"Average","mm/hr"
